"Reference","Qty","Value","LCSC Part"
"BUZZER1","1","HND-1407B","C115184"
"C1,C2,C10,C12,C14,C17,C19,C21,C22,C23,C24,C26,C29,C30,C31,C32,C34,C41,C42,C43,C46","21","100nF","C28233"
"C3","1","47pF","C107118"
"C4,C5,C6","3","22uF","C87996"
"C7,C15","2","10uF","C6119958"
"C8","1","39pF","C22470023"
"C9","1","2.7nF","C2918070"
"C11,C13,C18,C20,C25,C27,C35,C36,C37","9","10uF","C6119889"
"C16","1","22uF","C6119965"
"C28","1","4.7uF","C6119944"
"C33,C40","2","2.2uF","C125847"
"C38","1","2.2nF","C107146"
"C44,C45","2","18pF","C113825"
"C47,C48","2","1000uF","C439782"
"D1,D4,D5,D6","4","BLUE","C965817"
"D2","1","SMF33A","C37331473"
"D3","1","GREEN","C5875740"
"D7","1","SMF5V0A","C42387343"
"J1,J3","2","Screw_Terminal_01x02","C3018698"
"J2,J7,J8,J9,J10,J12,J13,J14,J15,J16,J17,J21","12","Conn_01x04_Pin","C131334"
"J4","1","Conn_01x02_Pin","C131337"
"J5,J6,J18,J19,J20,J22,J23,J24,J25","9","Conn_01x03_Pin","C131339"
"J26","1","Conn_01x06_Pin","C131342"
"JP1,MK1,MK2,MK3,MK4","5","M3,SolderJumper_2_Open",""
"L1","1","3.3uH","C7587741"
"Q1,Q3","2","NMOS","C347475"
"Q2,Q4","2","HSBA100P04","C2987717"
"R1,R4,R7,R11","4","360","C2930158"
"R2,R18,R19,R20,R21,R32,R33,R34","8","10k","C110775"
"R3,R5,R8,R9,R41","5","330","C2907321"
"R6","1","82k","C21571501"
"R10","1","120k","C103948"
"R12","1","22.1k","C2692772"
"R13,R16","2","47k","C2989281"
"R14","1","200k","C728645"
"R15","1","16k","C865809"
"R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R36,R37","12","4.7k","C2988931"
"R35","1","120","C17437"
"R38,R39,R40,R46,R47,R48,R49,R50,R51,R52","10","0","C17477"
"R42,R43","2","1k","C110774"
"R44,R45","2","2k","C2988894"
"U1","1","AP64500SP-13","C2070920"
"U2","1","AMS1117-3.3","C347222"
"U3","1","DSHP04TSGER","C3293144"
"U4","1","STM32F407VGT6TR","C919362"
"U5,U6","2","PCA9685PW,118","C2678753"
"U7","1","MPU-6050","C24112"
"U8","1","SN65HVD230DR","C12084"
"X1","1","X32258MOB4SI","C2682775"
